year,race,name,P1,P2,P3,rating
2008,1,Australian Grand Prix,Hamilton,Heidfeld,Rosberg,7.609
2008,10,German Grand Prix,Hamilton,Piquet,Massa,7.18
2008,11,Hungarian Grand Prix,Kovalainen,Glock,Raikkonen,6.202
2008,12,European Grand Prix,Massa,Hamilton,Kubica,3.977
2008,13,Belgian Grand Prix,Massa,Heidfeld,Hamilton,7.736
2008,14,Italian Grand Prix,Vettel,Kovalainen,Kubica,8.153
2008,15,Singapore Grand Prix,Alonso,Rosberg,Hamilton,6.302
2008,16,Japanese Grand Prix,Alonso,Kubica,Raikkonen,6.66
2008,17,Chinese Grand Prix,Hamilton,Massa,Raikkonen,4.446
2008,18,Brazilian Grand Prix,Massa,Alonso,Raikkonen,8.756
2008,2,Malaysian Grand Prix,Raikkonen,Kubica,Kovalainen,5.738
2008,3,Bahrain Grand Prix,Massa,Raikkonen,Kubica,5.364
2008,4,Spanish Grand Prix,Raikkonen,Massa,Hamilton,5.085
2008,5,Turkish Grand Prix,Massa,Hamilton,Raikkonen,6.816
2008,6,Monaco Grand Prix,Hamilton,Kubica,Massa,8.177
2008,7,Canadian Grand Prix,Kubica,Heidfeld,Coultard,7.809
2008,8,French Grand Prix,Massa,Raikkonen,Trulli,3.977
2008,9,British Grand Prix,Hamilton,Heidfeld,Barichello,8.164
2009,1,Australian Grand Prix,Button,Barichello,Trulli,7.937
2009,10,Hungarian Grand Prix,Hamilton,Raikkonen,Webber,6.808
2009,11,European Grand Prix,Barichello,Hamilton,Raikkonen,5.355
2009,12,Belgian Grand Prix,Raikkonen,Fisichella,Vettel,7.852
2009,13,Italian Grand Prix,Barichello,Button,Raikkonen,7.049
2009,14,Singapore Grand Prix,Hamilton,Glock,Alonso,5.336
2009,15,Japanese Grand Prix,Vettel,Trulli,Hamilton,5.58
2009,16,Brazilian Grand Prix,Webber,Kubica,Hamilton,8.309
2009,17,Abu Dhabi Grand Prix,Vettel,Webber,Button,5.794
2009,2,Malaysian Grand Prix,Button,Heidfeld,Glock,5.284
2009,3,Chinese Grand Prix,Vettel,Webber,Button,6.69
2009,4,Bahrain Grand Prix,Button,Vettel,Trulli,6.42
2009,5,Spanish Grand Prix,Button,Barichello,Webber,5.33
2009,6,Monaco Grand Prix,Button,Barichello,Raikkonen,5.504
2009,7,Turkish Grand Prix,Button,Webber,Vettel,5.276
2009,8,British Grand Prix,Vettel,Webber,Barichello,5.755
2009,9,German Grand Prix,Webber,Vettel,Massa,7.096
2010,1,Bahrain Grand Prix,Alonso,Massa,Hamilton,4.587
2010,10,British Grand Prix,Webber,Hamilton,Rosberg,7.203
2010,11,German Grand Prix,Alonso,Massa,Vettel,3.74
2010,12,Hungarian Grand Prix,Webber,Alonso,Vettel,6.654
2010,13,Belgian Grand Prix,Hamilton,Webber,Kubica,8.368
2010,14,Italian Grand Prix,Alonso,Button,Massa,6.759
2010,15,Singapore Grand Prix,Alonso,Vettel,Webber,7.194
2010,16,Japanese Grand Prix,Vettel,Webber,Alonso,6.642
2010,17,Korean Grand Prix,Alonso,Hamilton,Massa,7.536
2010,18,Brazilian Grand Prix,Vettel,Webber,Alonso,6.253
2010,19,Abu Dhabi Grand Prix,Vettel,Hamilton,Button,6.602
2010,2,Australian Grand Prix,Button,Kubica,Massa,8.638
2010,3,Malaysian Grand Prix,Vettel,Webber,Rosberg,6.684
2010,4,Chinese Grand Prix,Button,Hamilton,Rosberg,8.326
2010,5,Spanish Grand Prix,Webber,Alonso,Vettel,4.919
2010,6,Monaco Grand Prix,Webber,Vettel,Kubica,6.217
2010,7,Turkish Grand Prix,Hamilton,Button,Webber,7.984
2010,8,Canadian Grand Prix,Hamilton,Button,Alonso,8.668
2010,9,European Grand Prix,Vettel,Hamilton,Button,5.454
2011,1,Australian Grand Prix,Vettel,Hamilton,Petrov,6.751
2011,10,German Grand Prix,Hamilton,Alonso,Webber,8.43
2011,11,Hungarian Grand Prix,Button,Vettel,Alonso,8.344
2011,12,Belgian Grand Prix,Vettel,Webber,Button,7.772
2011,13,Italian Grand Prix,Vettel,Button,Alonso,7.494
2011,14,Singapore Grand Prix,Vettel,Button,Webber,6.39
2011,15,Japanese Grand Prix,Button,Alonso,Vettel,7.57
2011,16,Korean Grand Prix,Vettel,Hamilton,Webber,6.915
2011,17,Indian Grand Prix,Vettel,Button,Alonso,5.555
2011,18,Abu Dhabi Grand Prix,Hamilton,Alonso,Button,6.127
2011,19,Brazilian Grand Prix,Webber,Vettel,Button,5.771
2011,2,Malaysian Grand Prix,Vettel,Button,Heidfeld,7.775
2011,3,Chinese Grand Prix,Hamilton,Vettel,Webber,9.241
2011,4,Turkish Grand Prix,Vettel,Webber,Alonso,7.306
